frame,track_id,class,x1,y1,x2,y2,confidence
4,3,player,1269.0,567.0,1281.0,600.0,0.841
4,1,player,673.0,695.0,688.0,732.0,0.84
4,7,player,734.0,544.0,747.0,572.0,0.824
4,6,player,585.0,546.0,596.0,575.0,0.822
4,12,player,601.0,604.0,620.0,637.0,0.82
4,8,player,1087.0,701.0,1100.0,735.0,0.802
4,9,player,849.0,500.0,861.0,524.0,0.801
4,11,player,1088.0,543.0,1099.0,574.0,0.729
5,2,player,1095.0,613.0,1112.0,644.0,0.87
5,3,player,1269.0,568.0,1281.0,600.0,0.862
5,5,player,639.0,600.0,653.0,633.0,0.862
5,4,player,533.0,671.0,546.0,706.0,0.854
5,1,player,673.0,695.0,688.0,732.0,0.834
5,7,player,733.0,544.0,747.0,572.0,0.823
5,12,player,601.0,604.0,621.0,637.0,0.822
5,6,player,585.0,546.0,596.0,575.0,0.82
5,8,player,1088.0,700.0,1099.0,735.0,0.807
5,9,player,849.0,500.0,862.0,524.0,0.807
5,15,player,1041.0,503.0,1054.0,531.0,0.758
5,14,player,909.0,652.0,932.0,679.0,0.755
5,11,player,1088.0,544.0,1099.0,574.0,0.745
5,13,referee,1379.0,406.0,1392.0,428.0,0.667
5,16,player,938.0,547.0,952.0,572.0,0.61
6,3,player,1268.0,568.0,1281.0,600.0,0.882
6,2,player,1094.0,614.0,1112.0,645.0,0.861
6,4,player,533.0,671.0,545.0,706.0,0.854
6,5,player,639.0,601.0,653.0,633.0,0.854
6,7,player,734.0,544.0,747.0,572.0,0.836
6,6,player,584.0,546.0,596.0,575.0,0.833
6,1,player,673.0,695.0,688.0,732.0,0.825
6,12,player,601.0,605.0,623.0,637.0,0.822
6,8,player,1087.0,701.0,1099.0,737.0,0.815
6,9,player,849.0,501.0,862.0,524.0,0.79
6,17,player,919.0,782.0,935.0,811.0,0.775
6,15,player,1041.0,503.0,1054.0,531.0,0.77
6,11,player,1088.0,543.0,1099.0,574.0,0.758
6,14,player,908.0,651.0,928.0,680.0,0.662
6,16,player,938.0,546.0,950.0,572.0,0.569
7,3,player,1268.0,568.0,1281.0,600.0,0.889
7,4,player,532.0,672.0,545.0,707.0,0.857
7,5,player,639.0,601.0,653.0,634.0,0.853
7,2,player,1093.0,614.0,1111.0,645.0,0.842
7,6,player,585.0,546.0,596.0,575.0,0.832
